Date;Hour;CustomerID;AccessID;StartAccess;EndAccess;DurationTime;MessageType;BenefitKey;AccessAttempts
01/10/2018;14;02F621BB-1377-42D7-A8FE-1972FB36E449;A084714C-E8C0-4B67-8B59-C9C274B5924D;01/10/2018 14:36;01/10/2018 14:36;3;NULL;3B38806B-56AF-4D20-933A-0F7CCC3D627EECUNEJHNHL;1
01/10/2018;14;7358E48E-42FC-4CA0-884E-EB8E62BB4BE8;20AEEF41-FC2E-4C85-BED7-AB06A49815C2;01/10/2018 14:19;01/10/2018 14:19;1;NULL;CC85D54B-19FC-4F24-A2F9-D68B69A05DB8WATHPIMMLB;1
01/10/2018;14;9BDF5C40-CE8C-4693-8132-9830AF3BA142;595FCDD5-EEAC-4348-ACC3-92B8F3CE6E9F;01/10/2018 14:23;01/10/2018 14:23;1;NULL;9011EF47-04E8-427E-BF15-2C6682334D2ANGUVHTFCFG;1
01/10/2018;14;DB10E1FC-0F9C-478F-8810-493DA0EC1585;E7FA5BC6-C736-4CDA-B40A-1991B343E645;01/10/2018 14:59;01/10/2018 14:59;18;NULL;7411486C-2DDF-4452-8B19-5B22606BE5F0UTQMUJIWRL;1
01/10/2018;14;16ADAFCC-FD54-4311-9B99-487A920A11F2;44EB9B0F-B56A-4356-AD30-7B26E828F743;01/10/2018 14:25;01/10/2018 14:25;1;NULL;8FDC0A21-B288-4003-9FA8-D2EFBD06390CSCQPODRPEA;1
01/10/2018;14;7CE215ED-9B7E-4636-BD65-CDE92A66A337;E708AE2F-5A46-4354-B92E-26E0FC0AA304;01/10/2018 14:25;01/10/2018 14:25;0;NULL;NULL;1
01/10/2018;14;CBF5EC0C-EFF2-47A0-ACFD-E08B4A255BA0;7948D190-AC8A-4DF1-B769-01F27A6EC932;01/10/2018 14:22;01/10/2018 14:22;0;NULL;NULL;1
01/10/2018;14;8C8498E3-C2BE-422B-AC2D-A866E20E33EC;B01EAD65-4618-4512-A2E4-C57478B3B6B7;01/10/2018 14:16;01/10/2018 14:16;4;NULL;5DDACCF0-DD91-42BB-8CE7-40EC7E6C21ABQWNQMQIAQF;1
01/10/2018;14;DCF1DF6B-ECF1-4724-8DCC-AC97F1009E3F;CFB85405-37E1-4ABB-84FF-FD43B230C9D0;01/10/2018 14:32;01/10/2018 14:32;2;NULL;F171A867-D814-4615-957D-6372A1884A81KKJQALDOPM;1
01/10/2018;14;9CA6B6D7-2540-4A15-81C2-5036EF7E5023;75041B61-4109-457A-AF74-56D6D88E3D5B;01/10/2018 14:08;01/10/2018 14:08;0;NULL;NULL;1
01/10/2018;14;FE812C33-FCEA-4A62-BE3C-9D9F4A086E07;850C97B7-0FF7-4AA2-97FB-D2837E672B59;01/10/2018 14:54;01/10/2018 14:54;1;NULL;NULL;1
01/10/2018;15;E792E11D-5AB7-446F-84AF-5C4581340EEF;150DFE72-3FF0-4428-960B-5B6B6FC77183;01/10/2018 15:37;01/10/2018 15:38;21;NULL;937C1EB2-6E82-45FA-AF62-DF6EAAF0A918DIJUWKBPGL;1
01/10/2018;15;C6311DEA-F9B6-40E8-B3E9-E7D08692812E;229DF210-812F-4860-AA73-70AFD44A3838;01/10/2018 15:02;01/10/2018 15:03;17;NULL;C26C65D3-BA1D-4D4D-A1D1-B0BDE00E2B75PJHEQTIIMU;1
01/10/2018;15;31BE43F5-DCE0-4B88-81D3-CA5373EA6BC2;2F9B6704-3024-4BA8-98A4-540E3EF7832D;01/10/2018 15:56;01/10/2018 15:56;0;NULL;NULL;1
01/10/2018;15;EB5D52FA-B8C8-4B15-984A-BB2391D4D455;D6C76929-A4F1-4584-90D2-AB1A9638807E;01/10/2018 15:19;01/10/2018 15:19;0;NULL;NULL;1
01/10/2018;15;E205CA68-AF61-4931-8DFB-725474C6A363;A3343A9A-EA63-4C62-BAE9-E35B3ED6E2A6;01/10/2018 15:20;01/10/2018 15:20;21;NULL;D67D8FB3-DB08-421C-9CC7-D59B24B95D27LSOHBUPWBO;1
